"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"Strong";"w";"1";"canberra";0.1;0.25;0.391666666666667;0.566666666666667
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";0.28;0;0.1;0.04;1
"Colossians";0.34;0;0.04;0.02;0.96
"2Thessalonians";0.58;0;0.06;0;0.96
"1Timothy";0.36;0.02;0.2;0.02;0.96
"2Timothy";0.36;0;0.14;0.02;0.98
"Titus";0.82;0;0.02;0;0.84
"Hebrews";0.2;0.1;NA;0.62;0.82
"Mark16_9-20";0.88;0;0.16;0;0.62
"John7_53-8_11";0.94;0;0.2;0.12;0.72
"Romans16_25-27";0.86;0.06;0.1;0.02;0.8
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"Strong";"w";"1";"entropy";0.25;0.5;0.391666666666667;0.558333333333333
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";0.1;0;0;0;1
"Colossians";0.06;0;0;0;0.96
"2Thessalonians";0.1;0;0;0;1
"1Timothy";0.14;0.02;0.02;0.02;1
"2Timothy";0.18;0.12;0.04;0;0.92
"Titus";0.6;0.02;0.02;0;0.68
"Hebrews";0.1;NA;0.08;0.1;0.86
"Mark16_9-20";0.68;0.14;0.26;0.18;0.08
"John7_53-8_11";NA;0.22;0.32;0.24;0.08
"Romans16_25-27";NA;0.04;0.04;0;0.76
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"Strong";"w";"1";"cosine";0.9;0.5;0.408333333333333;0.541666666666667
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";0.02;0.06;0;0.06;1
"Colossians";0.04;0.06;0;0.02;0.98
"2Thessalonians";0;0.06;0;0;1
"1Timothy";0;0.06;0;0;1
"2Timothy";0;0.2;0;0.02;0.94
"Titus";0;0.06;0.02;0;1
"Hebrews";0;0.56;0.02;0.1;0.96
"Mark16_9-20";0.04;1;0.02;0.34;0
"John7_53-8_11";0;1;0.06;0.56;0
"Romans16_25-27";0;0.1;0;0;1
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"Strong";"w";"1";"cosine";0.1;0.75;0.25;0.416666666666667
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";0.08;0.12;0.04;0.04;0.74
"Colossians";0.12;0.14;0.04;0.02;0.8
"2Thessalonians";0.14;0.08;0;0.02;0.94
"1Timothy";0.08;0.14;0.1;0.08;0.8
"2Timothy";0.08;0.22;0.02;0.02;0.78
"Titus";0.16;0.14;0;0;0.72
"Hebrews";0.04;0.54;0.02;0.08;0.56
"Mark16_9-20";NA;NA;0.12;0.24;0.1
"John7_53-8_11";NA;NA;NA;0.14;0.2
"Romans16_25-27";0.16;0.1;0.02;0.04;0.66
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"Strong";"w";"1";"cosine";0.1;0.9;0.266666666666667;0.4
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";0.14;0.02;0.02;0.04;0.82
"Colossians";0.12;0.08;0.02;0.04;0.84
"2Thessalonians";0.02;0.02;0;0.02;0.96
"1Timothy";0.12;0.14;0.04;0.06;0.78
"2Timothy";0.12;0.18;0.02;0.04;0.7
"Titus";0.14;0.12;0.06;0;0.72
"Hebrews";0.06;0.26;0.02;0.06;0.5
"Mark16_9-20";NA;NA;0.24;0.16;0.24
"John7_53-8_11";0.24;0.26;0.2;0.1;0.16
"Romans16_25-27";0.12;0.14;0.06;0.02;0.72
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"POS_L";"w";"1";"cosine";0.1;0.75;0.35;0.408333333333333
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";0.16;0.12;0;0.06;0.76
"Colossians";0.2;0.02;0.02;0.06;0.88
"2Thessalonians";0.18;0.02;0;0.04;0.92
"1Timothy";0.18;0.06;0.08;0;0.62
"2Timothy";0.24;0.26;0.1;0.08;0.6
"Titus";0.2;0.1;0.04;0.02;0.74
"Hebrews";0.18;NA;0.16;0.24;0.3
"Mark16_9-20";0.18;0.26;0.14;NA;0.24
"John7_53-8_11";0.12;0.46;0.44;0.18;0.16
"Romans16_25-27";0.28;0.14;0.08;0.08;0.84
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"POS_L";"w";"1";"cosine";0.1;0.9;0.316666666666667;0.416666666666667
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";0.08;0.1;0.02;0.08;0.78
"Colossians";0.18;0.02;0;0.06;0.86
"2Thessalonians";0.08;0.02;0.02;0.02;0.86
"1Timothy";0.1;0.08;0.02;0.1;0.72
"2Timothy";0.22;0.2;0.02;0.08;0.62
"Titus";0.1;0.1;0.04;0.04;0.56
"Hebrews";0.16;0.42;0;0.14;0.28
"Mark16_9-20";0.12;0.28;0.16;NA;0.24
"John7_53-8_11";0.26;0.24;NA;0.06;0.14
"Romans16_25-27";NA;0.1;0.04;0.02;0.8
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"POS_L";"w";"1";"entropy";0.1;0.9;0.308333333333333;0.4
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";0.12;0.06;0.02;0.04;0.92
"Colossians";0.08;0;0.02;0.08;0.88
"2Thessalonians";0.14;0;0.02;0;0.88
"1Timothy";0.24;0.02;0;0.02;0.76
"2Timothy";0.26;0.24;0.06;0.08;0.5
"Titus";0.18;0.04;0.04;0;0.78
"Hebrews";0.1;NA;0.08;0.22;NA
"Mark16_9-20";0.3;0.08;0.2;0.14;0.3
"John7_53-8_11";NA;0.06;NA;0.02;NA
"Romans16_25-27";0.46;0;0;0;0.68
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"POS_L";"w";"1";"cosine";0.5;0.9;0.4;0.491666666666667
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";0;0;0;0;0.94
"Colossians";0;0;0;0;0.98
"2Thessalonians";0;0;0;0;1
"1Timothy";0.06;0;0;0;1
"2Timothy";0.02;0.52;0;0;0.52
"Titus";0.02;0.06;0;0;0.94
"Hebrews";0;0.56;0;0.04;0.34
"Mark16_9-20";0;0.66;0.18;0.18;0.06
"John7_53-8_11";0.04;0.62;NA;0;0
"Romans16_25-27";0.08;0.02;0;0;0.96
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"POS_S";"w";"1";"cosine";0.9;0.75;0.383333333333333;0.55
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";0.2;0.06;0;0;0.82
"Colossians";0.04;0.14;0;0;0.94
"2Thessalonians";0;0;0;0;1
"1Timothy";0.08;0.02;0;0;0.98
"2Timothy";0;0.14;0;0;0.8
"Titus";0.12;0;0;0;0.94
"Hebrews";0;0.14;0;0;0.88
"Mark16_9-20";1;0.06;0.24;0;0.02
"John7_53-8_11";NA;0.1;0.86;0;0
"Romans16_25-27";0.08;0.02;0;0;1
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"POS_S";"w";"1";"entropy";0.25;0.9;0.216666666666667;0.325
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";0.34;0.2;0.02;0;0.54
"Colossians";0.46;0.16;0.02;0.04;0.38
"2Thessalonians";0.18;0.1;0;0.02;0.78
"1Timothy";0.14;0.1;0;0.04;0.74
"2Timothy";NA;0.1;0;0;0.56
"Titus";NA;NA;0;0;0.5
"Hebrews";0.1;0.36;0.02;0.06;0.66
"Mark16_9-20";0.5;NA;0.2;0.02;0.14
"John7_53-8_11";0.34;0.18;NA;0.08;0.38
"Romans16_25-27";0.52;0.14;0;0.02;0.42
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"POS_S";"w";"1";"cosine";0.5;0.9;0.308333333333333;0.416666666666667
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";0.26;0.26;0;0.02;0.52
"Colossians";0.26;0.2;0;0.02;0.56
"2Thessalonians";0.04;0.02;0;0.02;0.84
"1Timothy";0.24;0;0.02;0;0.7
"2Timothy";0.16;0.12;0.02;0;0.62
"Titus";NA;0.06;0.04;0.02;0.62
"Hebrews";0.06;0.14;0;0.06;0.86
"Mark16_9-20";0.74;0.14;0.02;0.04;0.14
"John7_53-8_11";0.46;0.26;NA;0.06;0.28
"Romans16_25-27";NA;0.02;0;0;0.7
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"POS_S";"w";"1";"canberra";0.5;0.9;0.375;0.533333333333333
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";0.28;0;0.02;0;0.72
"Colossians";0.58;0.06;0;0.04;NA
"2Thessalonians";0.58;0;0;0;0.22
"1Timothy";0.1;0;0;0.1;0.78
"2Timothy";0.04;0;0;0.06;0.94
"Titus";0.74;0;0;0;0.34
"Hebrews";0;0.12;0.34;0.12;NA
"Mark16_9-20";1;0;0;0;0
"John7_53-8_11";0.92;0.02;0.02;0.02;0.14
"Romans16_25-27";0.94;0;0;0;0.06
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"POS_S";"w";"1";"cosine";0.75;0.9;0.325;0.466666666666667
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";0.22;0.26;0;0;0.8
"Colossians";0.06;0.2;0;0;0.82
"2Thessalonians";0.06;0.08;0;0;0.98
"1Timothy";0.22;0.02;0;0;0.78
"2Timothy";0.28;0.18;0;0;0.86
"Titus";0.22;0.04;0;0;0.8
"Hebrews";0.02;0.24;0;0;0.88
"Mark16_9-20";0.74;0.18;0.1;0.02;0.1
"John7_53-8_11";0.2;0.18;NA;0.02;0.08
"Romans16_25-27";0.2;0.02;0;0;0.88
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"Strong";"w";"2";"cosine";0.25;0.5;0.35;0.491666667
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";0;0.28;0;0;0.92
"Colossians";0.24;0.18;0;0.02;0.82
"2Thessalonians";0.02;0.06;0;0;1
"1Timothy";0.06;0.2;0.1;0.04;0.88
"2Timothy";0.1;0.32;0;0.06;0.88
"Titus";0.2;0.2;0;0.06;0.86
"Hebrews";0.14;0.76;0.02;0.06;0.62
"Mark16_9-20";0.12;0.86;0.1;0.22;0.08
"John7_53-8_11";0.1;NA;NA;0.66;0
"Romans16_25-27";0.12;0.16;0.26;0.26;0.7
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"Strong";"w";"2";"cosine";0.25;0.75;0.366666667;0.475
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";0;0.16;0;0;0.98
"Colossians";0.14;0.12;0;0.02;0.82
"2Thessalonians";0;0.08;0;0;0.98
"1Timothy";0.04;0.2;0.02;0.06;0.88
"2Timothy";0.04;0.26;0;0;0.86
"Titus";0.18;0.06;0;0.02;0.86
"Hebrews";0.08;0.56;0.02;0;NA
"Mark16_9-20";0.18;0.74;0.04;0.16;0.06
"John7_53-8_11";0.02;NA;0.26;0.48;0
"Romans16_25-27";0.14;0.18;0.08;0.06;0.72
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"Strong";"w";"2";"cosine";0.25;0.9;0.316666667;0.45
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";0.02;0.14;0;0;0.94
"Colossians";0.08;0.06;0;0;0.8
"2Thessalonians";0;0.04;0;0;0.94
"1Timothy";0.14;0.04;0.06;0.04;0.76
"2Timothy";0;0.22;0;0;0.88
"Titus";0.1;0.06;0;0;0.78
"Hebrews";0.02;NA;0;0;NA
"Mark16_9-20";0.06;0.74;0.02;0.16;0.04
"John7_53-8_11";0.08;NA;0.26;0.48;0
"Romans16_25-27";0.14;0.06;0.04;0.1;0.72
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"POS_S";"w";"2";"canberra";0.1;0.75;0.333333333333333;0.433333333333333
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";0.16;0;0.1;0.02;0.84
"Colossians";0.44;0.02;0.04;0.02;0.72
"2Thessalonians";NA;0;0.02;0.02;0.9
"1Timothy";0.2;0.04;0.02;0.04;0.86
"2Timothy";0.3;0;0.04;0.06;0.78
"Titus";0.48;0;0;0;0.58
"Hebrews";0.02;0.12;0.1;0.08;0.72
"Mark16_9-20";0.88;0;0;0;0.32
"John7_53-8_11";0.82;0;0;0;0.24
"Romans16_25-27";0.78;0.06;0.08;0.04;0.32
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"POS_S";"w";"2";"entropy";0.25;0.75;0.316666666666667;0.416666666666667
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";0.22;NA;0;0.04;0.58
"Colossians";0.18;NA;0;0;0.62
"2Thessalonians";0;0.12;0;0;0.94
"1Timothy";0.06;NA;0;0;0.82
"2Timothy";0.02;0.44;0.04;0.06;0.44
"Titus";0.14;0.26;0;0.02;0.58
"Hebrews";0;0.54;0;0.02;0.62
"Mark16_9-20";0.42;0.66;0.06;0.1;0.04
"John7_53-8_11";0.16;0.12;0.6;0.22;0.06
"Romans16_25-27";0.56;0.04;0.14;0.04;0.42
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"POS_S";"w";"2";"entropy";0.75;0.75;0.416666666666667;0.533333333333333
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";0.12;NA;0;0;0.74
"Colossians";0.02;0.64;0;0;0.58
"2Thessalonians";0;0.02;0;0;1
"1Timothy";0;0.36;0;0;0.96
"2Timothy";0;0.76;0;0;NA
"Titus";0.04;0.88;0;0;NA
"Hebrews";0;NA;0;0;0.66
"Mark16_9-20";0;1;0.02;0.02;0
"John7_53-8_11";0.02;0.06;0.98;0.2;0
"Romans16_25-27";0.94;0.1;0.04;0.02;0.16
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"POS_S";"w";"2";"canberra";0.75;0.75;0.441666666666667;0.508333333333333
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";0.02;0;0;0;1
"Colossians";0.72;0;0;0;0.64
"2Thessalonians";0.02;0;0;0;1
"1Timothy";0;0;0;0;1
"2Timothy";0.06;0;0;0;1
"Titus";0.16;0;0;0;0.92
"Hebrews";0;0.04;0;0.02;1
"Mark16_9-20";1;0;0;0;0.02
"John7_53-8_11";1;0;0;0;0.04
"Romans16_25-27";1;0;0;0;0.04
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"POS_S";"w";"2";"canberra";0.1;0.9;0.316666666666667;0.4
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";0.08;0;0.06;0;0.8
"Colossians";0.22;0.02;0.08;0.04;0.58
"2Thessalonians";NA;0;0;0;0.8
"1Timothy";0.12;0.02;0;0;0.88
"2Timothy";0.14;0;0.04;0.02;0.84
"Titus";NA;0;0;0.02;0.62
"Hebrews";0;0.06;0.12;0.02;0.78
"Mark16_9-20";0.8;0;0.02;0;0.26
"John7_53-8_11";0.98;0;0;0;0.2
"Romans16_25-27";0.8;0.02;0.02;0;0.28
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"POS_S";"w";"2";"entropy";0.25;0.9;0.308333333333333;0.441666666666667
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";NA;NA;0.02;0.02;0.56
"Colossians";0.06;NA;0;0;0.66
"2Thessalonians";0.04;0.04;0.02;0;0.94
"1Timothy";0.02;0.26;0;0;0.72
"2Timothy";0.06;NA;0;0.02;0.52
"Titus";0.26;0.28;0;0.02;0.58
"Hebrews";0;0.48;0;0;0.68
"Mark16_9-20";0.3;0.6;0.08;0.08;0
"John7_53-8_11";0.22;0.06;0.62;0.14;0.04
"Romans16_25-27";0.68;0.02;0.1;0.04;NA
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"POS_S";"w";"2";"canberra";0.25;0.9;0.316666666666667;0.441666666666667
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";0.12;0;0;0;0.9
"Colossians";NA;0;0;0;0.62
"2Thessalonians";0.06;0;0;0;0.88
"1Timothy";0;0;0;0;1
"2Timothy";0.04;0;0.02;0;0.92
"Titus";NA;0;0;0;0.64
"Hebrews";0;0.08;0.04;0.06;0.92
