"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"Mark16_9-20";1;0;0;0;0.14
"John7_53-8_11";0.94;0;0;0;0.04
"Romans16_25-27";0.94;0;0;0;0.14
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"POS_S";"w";"2";"canberra";0.5;0.9;0.366666666666667;0.558333333333333
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";0.08;0;0;0;0.98
"Colossians";0.6;0;0;0;0.7
"2Thessalonians";0.02;0;0;0;0.94
"1Timothy";0;0;0;0;1
"2Timothy";0;0;0;0;1
"Titus";0.34;0;0;0;0.74
"Hebrews";0;0.1;0.02;0;0.96
"Mark16_9-20";1;0;0;0;0
"John7_53-8_11";1;0;0;0;0
"Romans16_25-27";0.96;0;0;0;0.02
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"Strong";"w";"3";"entropy";0.1;0.5;0.425;0.541666667
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";0.7;0;0.06;0;NA
"Colossians";NA;0.02;0.08;0.02;0.66
"2Thessalonians";0.62;0.02;0;0.04;0.8
"1Timothy";0.76;0;0.1;0.02;NA
"2Timothy";0.74;0.02;0.04;0.02;0.56
"Titus";0.78;0.02;0.06;0.02;0.56
"Hebrews";0.78;0.04;0.16;0.08;NA
"Mark16_9-20";0.86;0.06;0.1;0.06;0.42
"John7_53-8_11";0.86;0.06;0.18;0.06;0.38
"Romans16_25-27";0.82;0;0.02;0.04;0.42
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"Strong";"w";"3";"entropy";0.75;0.5;0.483333333;0.516666667
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";0.68;0;0;0;0.58
"Colossians";0.82;0;0;0;0.64
"2Thessalonians";0.44;0;0;0;0.88
"1Timothy";0.82;0;0;0;0.4
"2Timothy";0.84;0;0;0;0.34
"Titus";0.9;0;0.02;0;0.34
"Hebrews";0.86;0;0;0;0.32
"Mark16_9-20";0.96;0;0.02;0;NA
"John7_53-8_11";0.96;0;0.08;0.04;0.26
"Romans16_25-27";0.88;0;0;0;0.4
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"Strong";"w";"3";"entropy";0.25;0.75;0.458333333;0.541666667
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";0.62;0;0.02;0;0.56
"Colossians";0.58;0;0;0;NA
"2Thessalonians";0.42;0;0;0;0.62
"1Timothy";0.74;0;0;0.02;NA
"2Timothy";0.78;0;0;0.02;0.36
"Titus";0.76;0;0;0;0.44
"Hebrews";0.76;0;0.02;0;0.34
"Mark16_9-20";0.74;0;0.02;0.04;0.3
"John7_53-8_11";0.86;0;0.06;0;0.4
"Romans16_25-27";0.78;0;0;0;0.34
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"POS_S";"w";"3";"canberra";0.9;0.5;0.391666666666667;0.483333333333333
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";0.02;0;0;0;1
"Colossians";0.12;0;0.02;0;1
"2Thessalonians";0.22;0;0;0;1
"1Timothy";0.02;0;0;0;1
"2Timothy";0.08;0;0;0;1
"Titus";0.12;0;0;0;1
"Hebrews";0;0;0;0.1;1
"Mark16_9-20";1;0;0;0;0.18
"John7_53-8_11";1;0;0;0;0.12
"Romans16_25-27";1;0;0;0;NA
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"POS_S";"w";"3";"canberra";0.1;0.75;0.358333333333333;0.466666666666667
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";0.06;0;0.08;0;0.92
"Colossians";0.02;0;0.02;0;0.98
"2Thessalonians";0.06;0;0.02;0;0.98
"1Timothy";0.04;0;0;0;0.96
"2Timothy";0.1;0;0.04;0.02;0.92
"Titus";0.22;0;0;0;0.96
"Hebrews";0;0.02;0.08;0.1;0.94
"Mark16_9-20";0.9;0;0;0;NA
"John7_53-8_11";0.98;0;0;0;0.24
"Romans16_25-27";0.7;0.02;0.02;0;NA
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"POS_S";"w";"3";"canberra";0.25;0.75;0.375;0.541666666666667
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";0.02;0;0;0;1
"Colossians";0.02;0;0;0;1
"2Thessalonians";0.02;0;0;0;1
"1Timothy";0.04;0;0;0;1
"2Timothy";0.06;0;0;0;0.96
"Titus";0;0;0;0;1
"Hebrews";0;0;0;0.02;1
"Mark16_9-20";0.98;0;0;0;0.1
"John7_53-8_11";1;0;0;0;0.08
"Romans16_25-27";0.82;0;0;0;NA
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"POS_S";"w";"3";"cosine";0.1;0.9;0.25;0.333333333333333
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";0.16;0.12;0;0.06;0.8
"Colossians";0.08;NA;0;0;0.6
"2Thessalonians";0.06;0.08;0.02;0.06;0.82
"1Timothy";0.02;0.14;0;0;0.94
"2Timothy";0.02;NA;0.02;0.06;0.74
"Titus";0.12;0.08;0.02;0.04;0.86
"Hebrews";0.02;NA;0;0.02;0.72
"Mark16_9-20";0.24;NA;0.22;0;0.22
"John7_53-8_11";NA;0.16;0.34;0.12;0.14
"Romans16_25-27";0.22;0.1;0.04;0.08;0.6
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"POS_S";"w";"3";"canberra";0.1;0.9;0.325;0.433333333333333
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";0.08;0;0;0;0.94
"Colossians";0.1;0;0.02;0;0.96
"2Thessalonians";0.04;0;0;0;1
"1Timothy";0.08;0;0.02;0;1
"2Timothy";0.02;0;0;0;0.88
"Titus";0.04;0;0;0;0.84
"Hebrews";0;0;0;0.1;0.94
"Mark16_9-20";0.86;0;0;0;0.18
"John7_53-8_11";1;0;0;0;0.16
"Romans16_25-27";0.7;0.02;0;0;0.22
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"Greek";"w";"1";"entropy";0.25;0.5;0.425;0.5
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";0.06;0;0;0;1
"Colossians";0.1;0;0;0;1
"2Thessalonians";0.08;0;0;0;1
"1Timothy";0.1;0;0;0;0.92
"2Timothy";0.14;0.06;0.02;0.04;0.96
"Titus";0.66;0;0.04;0;0.68
"Hebrews";0.08;0.58;0.08;0.06;0.86
"Mark16_9-20";0.52;0.16;0.22;0.16;0.34
"John7_53-8_11";NA;0.14;NA;0.22;0.18
"Romans16_25-27";0.54;0.02;0.02;0.02;0.78
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"Greek";"w";"1";"entropy";0.5;0.5;0.425;0.516666666666667
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";0.02;0;0;0;1
"Colossians";0;0;0;0;1
"2Thessalonians";0.02;0;0;0;1
"1Timothy";0.04;0;0;0;1
"2Timothy";0.06;0.04;0;0;1
"Titus";0.6;0;0;0;0.68
"Hebrews";0.02;NA;0.04;0.08;0.96
"Mark16_9-20";0.22;0.32;0.56;0.36;0.12
"John7_53-8_11";0.34;0.28;0.74;NA;0
"Romans16_25-27";0.28;0;0;0;0.88
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"Greek";"w";"1";"cosine";0.1;0.75;0.275;0.416666666666667
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";0.1;0.08;0.08;0.06;0.76
"Colossians";0.22;0.08;0.02;0.08;0.68
"2Thessalonians";0.04;0.1;0.02;0;0.88
"1Timothy";0.02;0.14;0.08;0.02;0.72
"2Timothy";0.16;0.44;0.08;0.02;0.68
"Titus";0.2;0.24;0.04;0.1;0.66
"Hebrews";0.06;0.42;0.06;0.14;0.52
"Mark16_9-20";0.18;0.46;0.2;0.26;0.1
"John7_53-8_11";0.24;NA;NA;0.14;0.04
"Romans16_25-27";0.08;0.08;0.1;0.02;0.74
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"Greek";"w";"1";"cosine";0.75;0.75;0.366666666666667;0.525
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";0;0.08;0.02;0;0.98
"Colossians";0.12;0.04;0.02;0;0.88
"2Thessalonians";0;0;0;0;1
"1Timothy";0.06;NA;0.02;0.14;0.58
"2Timothy";0;NA;0;0.18;0.34
"Titus";0.08;0.62;0.08;0.02;0.56
"Hebrews";0;0.92;0;0.18;0.26
"Mark16_9-20";0;0.96;0.06;0;0
"John7_53-8_11";0;0.62;0.12;0.82;0
"Romans16_25-27";0;0;0;0;1
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"Greek";"w";"1";"cosine";0.25;0.9;0.308333333333333;0.425
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";0.06;0.14;0.04;0.1;0.84
"Colossians";0.2;0.16;0.02;0.06;0.74
"2Thessalonians";0;0.02;0.02;0;0.96
"1Timothy";0.1;0.02;0.02;0.04;0.78
"2Timothy";0;0.24;0;0;0.66
"Titus";0.22;0.2;0.08;0;0.8
"Hebrews";0.04;NA;0;0.1;0.54
"Mark16_9-20";0.18;0.68;0.16;0.12;0.02
"John7_53-8_11";0.14;0.46;0.22;NA;0
"Romans16_25-27";0;0.08;0;0;0.86
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"Greek";"c";"1";"entropy";0.25;0.5;0.333333333333333;0.391666666666667
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";NA;0.26;0.02;0.06;0.8
"Colossians";0.32;NA;0.06;0.14;0.8
"2Thessalonians";0.1;0.18;0.06;0.04;0.88
"1Timothy";0.14;NA;0.1;0.22;0.56
"2Timothy";0.14;0.26;0.1;0.02;0.72
"Titus";0.2;0.4;0.1;0.14;0.6
"Hebrews";0.06;0.4;0.14;0.06;0.76
"Mark16_9-20";0.14;0.42;0.7;0.22;0.26
"John7_53-8_11";0.24;0.2;0.16;0.3;0.58
"Romans16_25-27";NA;0;0;0.1;0.72
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"Greek";"c";"1";"entropy";0.5;0.5;0.35;0.525
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";0.16;0.18;0.02;0.02;0.9
"Colossians";0.2;0.32;0;0;0.82
"2Thessalonians";0.02;0.24;0;0.04;1
"1Timothy";0.06;NA;0.08;0.24;0.68
"2Timothy";0.02;NA;0.04;0.06;0.9
"Titus";0.12;0.26;0;0.06;0.72
"Hebrews";0.02;NA;0;0.08;0.86
"Mark16_9-20";0.06;NA;0.86;0.28;0
"John7_53-8_11";0.08;NA;0.24;0.24;0.3
"Romans16_25-27";0.26;0.02;0;0.08;0.92
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"Greek";"c";"1";"entropy";0.75;0.5;0.408333333333333;0.541666666666667
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";0.04;0.16;0;0;1
"Colossians";0.06;NA;0;0;0.96
"2Thessalonians";0.02;0.16;0;0;1
"1Timothy";0;NA;0;0.26;0.78
"2Timothy";0;0.28;0;0;0.9
"Titus";0;NA;0;0.04;0.82
"Hebrews";0;0.3;0.02;0;0.92
"Mark16_9-20";0;0.34;0.98;0.18;0
"John7_53-8_11";0.1;0.72;0.24;0.28;0.18
"Romans16_25-27";0.16;0;0;0.04;0.98
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"Greek";"c";"1";"entropy";0.1;0.75;0.166666666666667;0.358333333333333
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";0.38;0.04;0;0.02;0.84
"Colossians";0.4;0.14;0.1;0.14;0.56
"2Thessalonians";0.14;NA;0.12;0.04;0.7
"1Timothy";0.36;0.16;0.08;0.16;0.56
"2Timothy";0.16;0.1;0.08;0.02;0.56
"Titus";0.36;0.1;0.12;0;0.56
"Hebrews";0.08;NA;0.1;0.16;0.5
"Mark16_9-20";NA;NA;0.42;NA;0.46
"John7_53-8_11";NA;NA;0.04;0.08;0.4
"Romans16_25-27";0.48;0.04;0.02;0;0.72
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"Greek";"c";"1";"entropy";0.25;0.75;0.266666666666667;0.4
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";0.24;0.08;0.04;0;0.78
"Colossians";NA;0.18;0.06;0.1;0.76
"2Thessalonians";0.06;0.16;0.02;0.06;0.88
"1Timothy";0.12;0.2;0.02;0.18;0.5
"2Timothy";0.08;0.24;0.08;0.02;0.7
"Titus";0.24;0.16;0.04;0.06;0.68
"Hebrews";0.1;NA;0.12;0.08;0.7
"Mark16_9-20";0.04;0.22;0.66;0.12;0.1
"John7_53-8_11";0.12;NA;0.12;0.1;0.52
"Romans16_25-27";NA;0.02;0.02;0.08;0.68
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"Greek";"c";"1";"entropy";0.5;0.75;0.358333333333333;0.466666666666667
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";0.04;0.18;0;0;0.88
"Colossians";0.02;0.22;0;0;0.8
"2Thessalonians";0;0.16;0;0;0.88
"1Timothy";0.04;NA;0;0.18;0.68
"2Timothy";0;0.26;0;0;0.78
"Titus";0.06;0.3;0;0.04;0.82
"Hebrews";0;0.18;0;0.06;0.82
"Mark16_9-20";0;NA;0.78;0.18;0.02
"John7_53-8_11";0.16;NA;0.12;0.14;0.22
"Romans16_25-27";0.18;0;0;0.02;0.9
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"Greek";"c";"1";"entropy";0.75;0.75;0.391666666666667;0.558333333333333
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";0;0.04;0;0;0.96
"Colossians";0;0.18;0;0;0.96
"2Thessalonians";0;0.04;0;0;1
"1Timothy";0;0.7;0;0.24;NA
"2Timothy";0;0.28;0;0;0.88
"Titus";0;0.26;0;0.02;0.84
"Hebrews";0;0.12;0;0;0.9
"Mark16_9-20";0;0.12;0.92;0.06;0
"John7_53-8_11";0.06;0.72;0.1;0.08;0.22
"Romans16_25-27";0.04;0;0;0;0.96
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"Greek";"c";"1";"cosine";0.1;0.9;0.158333333333333;0.341666666666667
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";NA;0.14;0.08;0;0.5
"Colossians";0.36;NA;0.08;0.12;0.38
"2Thessalonians";NA;0.08;NA;0.08;0.48
"1Timothy";NA;0.14;0.06;0.1;0.44
"2Timothy";NA;NA;0.06;0.14;0.58
"Titus";NA;0.08;0.08;0.14;0.4
"Hebrews";NA;NA;0.12;0.02;0.6
"Mark16_9-20";NA;0.08;NA;NA;0.38
"John7_53-8_11";NA;0.12;0.1;0.06;0.44
"Romans16_25-27";0.42;0.04;0.04;0.08;0.46
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"Greek";"c";"1";"cosine";0.25;0.9;0.233333333333333;0.366666666666667
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";0.22;0.18;0.04;0.02;0.62
"Colossians";0.08;NA;0.08;0.1;0.56
"2Thessalonians";0.14;0.06;0;0;0.82
"1Timothy";0.14;0.18;0.18;0.06;0.54
"2Timothy";0.12;0.08;0.08;0.08;0.52
"Titus";0.16;0.22;0.16;0.1;0.38
"Hebrews";0.04;0.16;0.04;0.02;0.54
"Mark16_9-20";0.04;0.2;0.44;0.06;0.38
"John7_53-8_11";0.4;0.22;0.08;0.08;0.42
"Romans16_25-27";0.2;0.08;0;0.14;0.58
" "
" "
"base";"level";"n";"dist";"feat";"imp";"p1_avg";"p2_avg"
"Greek";"w";"2";"entropy";0.5;0.5;0;0
"";"John";"Luke";"Mark";"Matthew";"Paul"
"Ephesians";0.3;NA;0.02;NA;0.88
"Colossians";0.34;NA;NA;NA;0.92
"2Thessalonians";0.34;NA;NA;NA;1
"1Timothy";0.66;NA;NA;NA;0.72
"2Timothy";0.66;0.02;0.02;NA;0.68
"Titus";0.86;NA;0.02;NA;0.54
"Hebrews";0.28;0.5;0.04;0.02;0.84
"Mark16_9-20";0.88;0.02;0.02;0.02;0.32
"John7_53-8_11";0.78;0.04;0.44;0.14;0.16
"Romans16_25-27";0.86;NA;0.02;NA;0.36
" "
" "
